Categoría,ID_Artículo,Descripción,Especificaciones,Cantidad,Unidad,Fabricante,Número_de_Pieza,Proveedor,Proveedor_PN,Costo_Unitario_USD,Costo_Total_USD,Tiempo_Entrega_Días,Notas,URL_Hoja_Datos
PASIVOS,PS-002,Condensador 100nF 50V,MLCC 0805 X7R,20,pzas,Murata,GRM21BR71H104KA01L,Digi-Key,490-1666-1-ND,0.1,2,3,Condensadores de desacoplamiento,
PASIVOS,PS-003,Kit de Resistencias 1%,0805 SMD 1% 1K-1M assorted,1,kit,Various,RES-KIT-0805,Amazon,GENERIC,15,15,5,Uso general,
PASIVOS,PS-004,Resistencia de Potencia 10 Ohm 25W,Wirewound Chassis Mount,8,pzas,Ohmite,L25J10RE,Digi-Key,L25J10RE-ND,4.5,36,5,Limitación de corriente de alta tensión,
SEGURIDAD,SF-001,Botón de Paro de Emergencia,Red Mushroom 22mm NC,2,pzas,Schneider Electric,XB5AS8442,Digi-Key,966-1455-ND,18,36,5,Apagado de emergencia,
SEGURIDAD,SF-002,LED Indicador de Alta Tensión,Red Panel Mount 250V Neon,1,pzas,VCC,CNX722A1REW250V,Digi-Key,CNX722A1REW250V-ND,3.5,3.5,3,Indicador de estado de alta tensión,
SEGURIDAD,SF-003,Porta-Fusibles + Fusible,5x20mm 3A Fast Blow,2,pzas,Littelfuse,178.6165.0001,Digi-Key,F2648-ND,2.5,5,3,Protección contra sobrecorriente,
SEGURIDAD,SF-004,Tomacorriente con Interruptor de Falla a Tierra,15A 120V Ground Fault,1,pzas,Leviton,GFNT1-W,Amazon,B001MLYTIU,18,18,3,Protección del personal,
SEGURIDAD,SF-005,Protección Auditiva,NRR 30 Earmuffs,3,pares,3M,X4A,Amazon,B00CPCHBCQ,25,75,3,Seguridad acústica,
SEGURIDAD,SF-006,Sonda de Descarga de Alta Tensión,Insulated with bleeder resistor,1,pzas,Custom/Pomona,5519A,Digi-Key,501-1236-ND,45,45,5,Descarga segura de condensadores,
SEGURIDAD,SF-007,Extintor de Incendios,CO2 5lb Class BC,1,pzas,Kidde,PRO5CDM,Amazon,B002U0KGTY,85,85,5,Clasificado para incendios eléctricos,
EQUIPO_DE_PRUEBA,TE-001,Balanza de Torsión,Resolution <10nN custom or research grade,1,pzas,Custom/University,TORSION-BAL-01,Custom Build,QUOTE-REQ,800,800,60,Instrumento de medición crítico,
EQUIPO_DE_PRUEBA,TE-002,Sensor de Desplazamiento Óptico,Laser triangulation <0.1um resolution,1,pzas,Keyence,LK-G32,Keyence,LK-G32,2500,2500,21,Lectura de balanza - puede prestarse/rentarse,https://www.keyence.com/products/measure/laser-1d/
EQUIPO_DE_PRUEBA,TE-003,Campana de Vacío,12 inch Borosilicate with baseplate,1,pzas,Kurt J. Lesker,BJL12000N01,Lesker,BJL12000N01,650,650,21,Puede que ya esté disponible en el laboratorio,https://www.lesker.com/newweb/chambers/belljar.cfm
EQUIPO_DE_PRUEBA,TE-004,Bomba de Vacío Primaria,2-stage rotary vane 5 CFM,1,pzas,Edwards,RV5,eBay/Used,USED-RV5,400,400,14,Puede que ya esté disponible en el laboratorio,
EQUIPO_DE_PRUEBA,TE-005,Pasacables para Vacío,10-pin electrical 2.75CF,1,pzas,Kurt J. Lesker,EFT0101053,Lesker,EFT0101053,180,180,14,Conexiones eléctricas a través de la cámara,
CONSUMIBLES,CS-001,Alambre de Soldadura,Sn63Pb37 0.5mm 100g,1,rollo,Kester,24-6337-0010,Digi-Key,KE1101-ND,18,18,3,Ensamblaje de PCB,
CONSUMIBLES,CS-002,Pluma de Flux,No-clean RMA,2,pzas,Kester,951,Digi-Key,KE1804-ND,8,16,3,Auxiliar de soldadura,
CONSUMIBLES,CS-003,Alcohol Isopropílico,99% 1L,1,frasco,Generic,IPA-99-1L,Amazon,GENERIC,12,12,3,Limpieza,
CONSUMIBLES,CS-004,Cinta Kapton,25mm x 33m,1,rollo,3M,5413,Amazon,B0192MK7L8,15,15,3,Aislamiento de alta tensión,
DOCUMENTACIÓN,DOC-001,Cuaderno de Laboratorio,Numbered pages 200pg,1,pzas,Generic,LAB-NB-200,Amazon,GENERIC,25,25,3,Documentación de pruebas,
DOCUMENTACIÓN,DOC-002,Juego de Masas de Calibración,1mg to 100g ASTM Class 4,1,juego,Troemner,7230-4W,Cole-Parmer,EW-11100-01,150,150,14,Calibración de la balanza de torsión,https://www.troemner.com/
,,,,,,,,,,,,,,
SUBTOTALES,,,,,,,,,,,,,,
,CAT-MM,Componentes de Metamaterial,,,,,,,,3250,,Fabricación personalizada - 45 días de entrega,,
,CAT-PZ,Sistema Piezoeléctrico,,,,,,,,745,,Incluye juego de repuesto,,
,CAT-EL,Electronics,,,,,,,,1244.5,,,,
,CAT-SN,Sensors,,,,,,,,669,,,,
,CAT-MC,Mechanical/Hardware,,,,,,,,296.55,,,,
,CAT-PCB,PCBs,,,,,,,,75,,,,
,CAT-CN,Connectors/Cables,,,,,,,,92.5,,,,
,CAT-PS,Passive Components,,,,,,,,62.6,,,,
,CAT-SF,Safety Equipment,,,,,,,,267.5,,,,
,CAT-TE,Equipo de Prueba,,,,,,,,5530,,Puede prestarse/compartirse,,
,CAT-CS,Consumibles,,,,,,,,61,,,,
,CAT-DOC,Documentación,,,,,,,,175,,,,
,,,,,,,,,,,,,,
TOTALES,,,,,,,,,,,,,,
,SUBTOTAL,Todos los Componentes,,,,,,,,12468.65,,,,
,CONTINGENCY,15% para envío/varios,,,,,,,,1870.3,,,,
,GRAND_TOTAL,,,,,,,,,14338.95,,,,
,,,,,,,,,,,,,,
NOTAS,,,,,,,,,,,,,,
,NOTE-1,El núcleo de metamaterial es FABRICACIÓN PERSONALIZADA - requiere documento de especificación RTM detallado para el proveedor. BUSCAR el archivo 06-METAMATERIAL_SPECIFICATION.md dentro de la CARPETA RAÍZ,,,,,,,,,,,,
,NOTE-2,El equipo de prueba (TE-xxx) puede prestarse del laboratorio de física universitario - verificar disponibilidad antes de comprar,,,,,,,,,,,,
,NOTE-3,Los amplificadores PA94 tienen 14 días de entrega - ORDENAR PRIMERO,,,,,,,,,,,,
,NOTE-4,El juego de repuesto piezoeléctrico (PZ-003) es OBLIGATORIO debido al riesgo de despolarización térmica según la Asesoría del Equipo Rojo,,,,,,,,,,,,
,NOTE-5,Todos los precios en USD estimados a partir de febrero 2026 - verificar antes de ordenar,,,,,,,,,,,,
,NOTE-6,JLCPCB requiere archivos Gerber - el diseño del PCB debe completarse antes de ordenar,,,,,,,,,,,,




