Category,Item_ID,Description,Specifications,Quantity,Unit,Manufacturer,Part_Number,Supplier,Supplier_PN,Unit_Cost_USD,Extended_Cost_USD,Lead_Time_Days,Notes,Datasheet_URL
,CAT-TE,Test Equipment,,,,,,,,5530,,May borrow/share,,
,CAT-CS,Consumables,,,,,,,,61,,,,
,CAT-DOC,Documentation,,,,,,,,175,,,,
,,,,,,,,,,,,,,
TOTALS,,,,,,,,,,,,,,
,SUBTOTAL,All Components,,,,,,,,12468.65,,,,
,CONTINGENCY,15% for shipping/misc,,,,,,,,1870.3,,,,
,GRAND_TOTAL,,,,,,,,,14338.95,,,,
,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,
,NOTE-1,Metamaterial core is CUSTOM FABRICATION - requires detailed RTM specification document for vendor. LOOK for 06-METAMATERIAL_SPECIFICATION.md file inside the ROOT FOLDER,,,,,,,,,,,,
,NOTE-2,Test equipment (TE-xxx) may be borrowed from university physics lab - check availability before purchasing,,,,,,,,,,,,
,NOTE-3,PA94 amplifiers have 14-day lead time - ORDER FIRST,,,,,,,,,,,,
,NOTE-4,Spare piezo set (PZ-003) is MANDATORY due to thermal depolarization risk per Red Team Advisory,,,,,,,,,,,,
,NOTE-5,All prices USD estimated as of Feb 2026 - verify before ordering,,,,,,,,,,,,
,NOTE-6,JLCPCB requires Gerber files - PCB design must be completed before ordering,,,,,,,,,,,,




     +-----------------------------------------------------------------------+
     | PROPRIETARY & CONFIDENTIAL | ZARPAFANTASMA SYSTEMS CORP.              |
     | PROJECT ID: [AETHERION]    | SECURITY CLEARANCE: LEVEL 5              |
     |-----------------------------------------------------------------------|
     | WARNING: Unauthorized access, distribution, or reproduction of this   |
     | document is strictly prohibited by ZS-CORP Legal Protocol. Electronic |
     | tracking and forensic watermarking are active on this file.           |
     +-----------------------------------------------------------------------+
